Urea (Rp/kg),SP  (Rp/kg),Round Up (Rp/liter),Formic acid (Rp/botol),Padi/Gabah (Rp/kg),Karet lokal (Rp/btng),Pisau sadap (Rp/unit),Mangkok penampung (latex cup) (Rp/unit),Ember karet (Rp/unit),Cangkul (Rp/unit),Parang (Rp/unit),Bak penampung (Rp/unit),Persiapan lahan Tebas (Rp/HOK),Persiapan lahan Tumbang (Rp/HOK),Persiapan lahan Bakar (Rp/HOK),Persiapan lahan Pancang (Rp/HOK),Penanaman Padi Tugal dan tanam padi (Rp/HOK),Padi Penyiangan (Rp/HOK),Padi Bird + pig waching (Rp/HOK),Padi Panen (Rp/HOK),Padi Perontokan + Pengeringan (Rp/HOK),Penanaman Karet Pembuatan lubang + pagar (Rp/HOK),Penanaman Karet: Tanam (Rp/HOK),Karet Penyiangan (Rp/HOK),Karet Pruning (Rp/HOK),Karet Penyadapan (Rp/HOK),Padi (Rp/kg),Karet basah (Rp/kg)
2600,2700,80000,6000,4000,2500,20000,500,10000,50000,50000,50000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,6000,7500
2600,2700,80000,6000,4000,2500,20000,200,10000,25000,50000,50000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,6000,24000
