Persiapan lahan Tebas (Rp/HOK),Persiapan lahan Tumbang (Rp/HOK),Persiapan lahan Bakar (Rp/HOK),Persiapan lahan Pancang (Rp/HOK),Penanaman Padi Tugal dan tanam padi (Rp/HOK),Padi Penyiangan (Rp/HOK),Padi Bird + pig waching (Rp/HOK),Padi Panen (Rp/HOK),Padi Perontokan + Pengeringan (Rp/HOK),Penanaman Karet Pembuatan lubang + pagar (Rp/HOK),Penanaman Karet: Tanam (Rp/HOK),Karet Penyiangan (Rp/HOK),Karet Pruning (Rp/HOK),Karet Penyadapan (Rp/HOK)
70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
