Urea (Rp/kg),SP  (Rp/kg),Round Up (Rp/liter),Formic acid (Rp/botol),Padi/Gabah (Rp/kg),Karet lokal (Rp/btng),Pisau sadap (Rp/unit),Mangkok penampung (latex cup) (Rp/unit),Ember karet (Rp/unit),Cangkul (Rp/unit),Parang (Rp/unit),Bak penampung (Rp/unit)
2600,2700,80000,6000,4000,2500,20000,500,10000,50000,50000,50000
2600,2700,80000,6000,4000,2500,20000,200,10000,25000,50000,50000
